timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423023724515372;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1531, 1493, 403];[-85554, -85795, -92416, -81571];[-80034, -82641, -85223, -79029];[];[];[410, 407, 361, 1181];[24, 24, 24, 48]
1623423023775185383;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1537, 1492, 402];[-85610, -85590, -92668, -81294];[-80103, -82946, -85470, -78623];[];[];[472, 405, 361, 952];[28, 24, 24, 40]
1623423023824125080;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1490, 401];[-85817, -85015, -91187, -81089];[-80236, -82482, -84858, -78758];[];[];[472, 367, 361, 1131];[28, 20, 24, 44]
1623423023874126263;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1537, 1493, 403];[-85449, -85320, -91184, -81725];[-80205, -82558, -85191, -79069];[];[];[505, 406, 360, 1086];[28, 24, 24, 44]
1623423023925278982;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1534, 1492, 401];[-85260, -85156, -91421, -81230];[-79949, -82545, -85126, -78852];[];[];[435, 429, 417, 988];[24, 24, 28, 40]
1623423023977394183;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1532, 1493, 403];[-85784, -85655, -91035, -81272];[-79988, -82690, -85063, -78916];[];[];[440, 407, 360, 994];[24, 24, 24, 40]
1623423024024216653;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1534, 1492, 403];[-85703, -85380, -90481, -81278];[-80027, -82564, -85126, -78855];[];[];[536, 405, 361, 1086];[32, 24, 24, 44]
1623423024075187223;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1489, 403];[-85576, -85262, -89884, -81339];[-79859, -82351, -84908, -78690];[];[];[436, 410, 362, 949];[24, 24, 24, 40]
1623423024124171015;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1536, 1489, 403];[-85622, -85584, -90876, -81835];[-80067, -82714, -85333, -79077];[];[];[502, 408, 363, 1036];[28, 24, 24, 44]
1623423024174139296;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1532, 1491, 402];[-85983, -85220, -90289, -81426];[-80253, -82757, -85223, -78870];[];[];[472, 406, 359, 1089];[28, 24, 24, 44]
1623423024225112669;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1537, 1495, 403];[-85795, -84834, -89795, -81232];[-80267, -82207, -85378, -78820];[];[];[471, 432, 360, 992];[28, 24, 24, 40]
1623423024275076040;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1536, 1492, 403];[-85307, -85288, -89331, -81036];[-80037, -82763, -84888, -78594];[];[];[498, 350, 360, 1033];[28, 20, 24, 40]
1623423024324352591;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1493, 402];[-86123, -85344, -88880, -81425];[-80161, -82448, -84540, -78699];[];[];[499, 347, 358, 954];[28, 20, 24, 40]
1623423024375224459;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1536, 1496, 402];[-85867, -84920, -89056, -81510];[-80004, -82351, -84586, -78719];[];[];[475, 365, 303, 1221];[28, 20, 20, 52]
1623423024425036862;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1534, 1493, 403];[-85612, -85323, -88641, -81346];[-79952, -82419, -84420, -78753];[];[];[502, 346, 466, 992];[28, 20, 32, 40]
1623423024474185526;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1536, 1493, 402];[-85592, -85139, -88598, -82044];[-79907, -82882, -84519, -79127];[];[];[502, 432, 358, 998];[28, 24, 24, 44]
1623423024525186778;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1532, 1493, 400];[-85320, -85993, -88102, -81388];[-79840, -82708, -84149, -78741];[];[];[504, 381, 360, 1030];[28, 24, 24, 40]
1623423024574166277;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1489, 401];[-85807, -85341, -88789, -81281];[-80030, -82684, -84530, -78615];[];[];[500, 365, 367, 1129];[28, 20, 24, 44]
1623423024624457870;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1491, 403];[-85302, -85323, -87703, -81827];[-79897, -82618, -83974, -78820];[];[];[433, 408, 362, 993];[24, 24, 24, 40]
1623423024675184078;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1535, 1488, 403];[-86847, -85268, -87627, -81954];[-80171, -82564, -83925, -78931];[];[];[447, 342, 361, 993];[28, 20, 24, 40]
1623423024724173411;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1536, 1491, 403];[-86359, -84991, -87154, -81818];[-80271, -82413, -83524, -78832];[];[];[502, 364, 360, 989];[32, 20, 24, 40]
1623423024774140754;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1533, 1494, 400];[-85333, -85516, -86953, -81749];[-80037, -82726, -83576, -78812];[];[];[438, 405, 360, 1227];[24, 24, 24, 48]
1623423024825217060;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1535, 1494, 400];[-85478, -85233, -86737, -81979];[-80171, -82529, -83569, -78936];[];[];[433, 432, 386, 1090];[24, 24, 24, 44]
1623423024874247350;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1534, 1495, 402];[-87071, -85597, -86815, -82182];[-80423, -82576, -83444, -78941];[];[];[391, 343, 382, 1043];[24, 20, 24, 44]
1623423024924180541;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1534, 1493, 400];[-86045, -85557, -86158, -81717];[-80302, -82876, -83337, -78790];[];[];[472, 407, 412, 1126];[28, 24, 24, 44]
1623423024975301275;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1531, 1494, 400];[-86391, -86209, -86382, -82067];[-80348, -82895, -83743, -79165];[];[];[389, 387, 327, 946];[24, 24, 20, 40]
1623423025026811480;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1534, 1493, 401];[-85866, -85897, -86176, -82257];[-80185, -83077, -83466, -79268];[];[];[476, 407, 408, 911];[28, 24, 24, 40]
1623423025074215598;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[510, 1530, 1495, 401];[-86149, -86545, -85954, -81231];[-80181, -83239, -83151, -78654];[];[];[471, 303, 342, 1032];[28, 20, 20, 40]
1623423025125159808;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1535, 1494, 401];[-85688, -85921, -85839, -81336];[-80077, -82826, -82985, -78798];[];[];[432, 381, 471, 1129];[24, 24, 28, 44]
1623423025174194767;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1534, 1492, 401];[-86072, -86321, -85683, -81463];[-80405, -83144, -83124, -78820];[];[];[409, 355, 408, 1124];[24, 24, 24, 44]
1623423025224169304;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[510, 1534, 1493, 401];[-85879, -86082, -85936, -81380];[-79907, -82870, -83267, -78928];[];[];[435, 384, 327, 1031];[24, 24, 20, 40]
1623423025275247535;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1534, 1492, 403];[-86287, -85644, -85907, -81360];[-80185, -82763, -83090, -79042];[];[];[447, 409, 386, 1030];[28, 24, 24, 40]
1623423025324302224;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1493, 402];[-85762, -86182, -86799, -81575];[-80024, -82708, -83365, -79050];[];[];[473, 303, 362, 1177];[28, 20, 24, 48]
1623423025374255425;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1535, 1491, 403];[-85482, -85995, -86256, -81114];[-79998, -83144, -83226, -78611];[];[];[435, 384, 412, 1231];[24, 24, 24, 48]
1623423025425156564;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1534, 1493, 401];[-85976, -86046, -85192, -81937];[-80295, -82788, -82966, -79274];[];[];[473, 388, 431, 1046];[28, 24, 24, 44]
1623423025474184613;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1536, 1493, 402];[-85496, -85605, -85234, -81713];[-79962, -82870, -83024, -79213];[];[];[502, 407, 365, 995];[28, 24, 20, 40]
1623423025524184177;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1496, 402];[-85265, -86204, -85036, -81165];[-79978, -82933, -82921, -78908];[];[];[503, 385, 454, 1084];[28, 24, 24, 44]
1623423025575216968;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1536, 1492, 402];[-85863, -85650, -84777, -81162];[-79901, -82908, -82500, -78785];[];[];[435, 407, 386, 953];[24, 24, 20, 40]
1623423025624249293;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[510, 1535, 1496, 401];[-85535, -85663, -85495, -81255];[-79965, -82782, -82985, -78870];[];[];[473, 406, 432, 1221];[28, 24, 24, 48]
1623423025674134676;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1535, 1493, 402];[-85256, -85972, -84550, -81573];[-80083, -83057, -82419, -78977];[];[];[499, 323, 552, 1041];[28, 20, 28, 44]
1623423025725166815;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1533, 1493, 404];[-85311, -86262, -84629, -81470];[-80195, -82966, -82351, -78959];[];[];[437, 382, 479, 1179];[24, 24, 24, 48]
1623423025774871325;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1489, 403];[-85839, -86400, -85061, -81148];[-80198, -82992, -82638, -78743];[];[];[470, 301, 502, 1235];[28, 20, 28, 48]
1623423025824246225;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1535, 1492, 403];[-86135, -85895, -86295, -81251];[-80114, -82876, -83191, -78716];[];[];[473, 327, 385, 1043];[28, 20, 24, 44]
1623423025875626953;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1491, 403];[-87049, -86588, -85797, -81134];[-80281, -83037, -82696, -78798];[];[];[422, 360, 431, 1129];[28, 24, 24, 44]
1623423025924261143;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[516, 1535, 1490, 402];[-85175, -86238, -86252, -81502];[-79859, -83117, -83253, -79019];[];[];[436, 304, 329, 1184];[24, 20, 20, 48]
1623423025974185577;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1531, 1491, 403];[-85216, -86386, -86687, -81109];[-79907, -83117, -83437, -78775];[];[];[502, 414, 327, 1226];[28, 28, 20, 48]
1623423026025159644;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[510, 1535, 1491, 403];[-86064, -87188, -85997, -81206];[-80185, -83394, -82933, -78951];[];[];[409, 304, 406, 899];[24, 20, 24, 36]
1623423026077028897;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1532, 1492, 401];[-85331, -87824, -85882, -81111];[-80027, -83430, -82992, -78805];[];[];[500, 356, 408, 1131];[28, 24, 24, 44]
1623423026124186722;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1533, 1493, 404];[-86648, -88024, -86357, -81017];[-80412, -83736, -83090, -78594];[];[];[386, 307, 345, 1090];[24, 20, 20, 44]
1623423026175172342;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1531, 1492, 403];[-86061, -86936, -85865, -81634];[-80164, -83198, -82985, -79001];[];[];[476, 358, 407, 1126];[28, 24, 24, 48]
1623423026224168393;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1489, 402];[-85305, -86656, -84840, -81519];[-80302, -82927, -82318, -78949];[];[];[501, 361, 481, 992];[28, 24, 24, 40]
1623423026274157688;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1533, 1494, 402];[-85318, -85609, -84913, -82019];[-80185, -82650, -82488, -79087];[];[];[436, 408, 456, 955];[24, 24, 24, 40]
1623423026325093224;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1533, 1490, 402];[-84942, -84974, -85476, -81267];[-80137, -82262, -82708, -78663];[];[];[525, 432, 408, 1035];[28, 24, 24, 40]
1623423026374157807;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1538, 1491, 401];[-85073, -84811, -84534, -81551];[-80205, -82224, -82218, -78758];[];[];[529, 428, 456, 992];[28, 24, 24, 40]
1623423026424114233;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[516, 1534, 1493, 403];[-85783, -85451, -85108, -82069];[-79939, -82340, -82419, -78726];[];[];[504, 407, 431, 1049];[28, 24, 24, 44]
1623423026475389948;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1538, 1489, 402];[-85577, -85234, -84436, -82057];[-80044, -82600, -82153, -78895];[];[];[475, 431, 387, 1186];[28, 24, 20, 48]
1623423026524230205;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1534, 1492, 400];[-85171, -86974, -84983, -82222];[-80083, -83097, -82425, -79008];[];[];[438, 360, 432, 1046];[24, 24, 24, 44]
1623423026574180429;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1537, 1494, 400];[-85404, -86340, -85490, -82094];[-79831, -82714, -82654, -79024];[];[];[441, 309, 366, 1129];[24, 20, 20, 48]
1623423026625159839;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1534, 1493, 401];[-85826, -86497, -86087, -81988];[-80240, -82770, -83219, -78975];[];[];[437, 307, 358, 1087];[24, 20, 24, 44]
1623423026674215217;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1537, 1494, 401];[-85464, -86043, -86769, -82381];[-79853, -82819, -83408, -79135];[];[];[438, 385, 358, 1041];[24, 24, 24, 44]
1623423026724244243;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1533, 1496, 400];[-86042, -86105, -87391, -81649];[-80073, -82582, -83659, -78825];[];[];[475, 384, 360, 1177];[28, 24, 24, 48]
1623423026775182918;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1534, 1491, 403];[-85873, -86007, -87875, -81519];[-80030, -82698, -83990, -78793];[];[];[410, 382, 361, 1086];[24, 24, 24, 44]
1623423026824279096;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1533, 1493, 402];[-85515, -86475, -89075, -81496];[-79988, -83024, -84393, -78916];[];[];[501, 360, 415, 1135];[28, 24, 28, 44]
1623423026874136261;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1537, 1489, 402];[-86525, -85988, -88396, -81152];[-80120, -82807, -84031, -78512];[];[];[389, 381, 361, 1130];[24, 24, 24, 44]
1623423026925151681;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1536, 1492, 403];[-85292, -85980, -88014, -81307];[-79750, -82895, -83808, -78554];[];[];[500, 385, 309, 1131];[28, 24, 20, 44]
